Team Name,Name,Wins,Losses,Elo (avg=1000),Trueskill Rating (avg=25),Peak MMR,zero Number,Active,Race,Players Defeated,Players Lost To
GM-Crew Ready,UWUMcSwagXD,5,3,1037,27.18 ± 3.5,4713,4,No,Terran,ThEUnKnowN ; DonRagu ; smokeygun ; smokeygun ; Jackal,Newbi ; Cicero ; brueda
Google ggMail,Ockie,1,5,852,16.24 ± 4.2,1938,,Yes,Protoss,ActiveFire,TheMonkies ; CAholder ; Milkman ; Iceman ; Sowha
Shopify Dropshippers,TheMonkies,1,2,923,16.66 ± 4.8,2407,,Yes,Terran,Ockie,Greghatch ; CliKing
Wraitheon,smokeygun,2,7,862,17.76 ± 3.7,2640,,No,Zerg,A.I. 1 (Very Hard) ; RelaxedBrain,Greghatch ; DanStraight ; MyKill ; UWUMcSwagXD ; UWUMcSwagXD ; Kevin ; FAir
Peloton Zealot Legs,RelaxedBrain,0,2,920,17.28 ± 6.3,0,,No,Zerg,,smokeygun ; MDM
Facebook Lingstagram,IIIIIIIIIIII,2,1,1048,32.08 ± 4.8,4152,4,No,Zerg,YolBolsun ; Cicero,KawaiiRice
Facebook Lingstagram,CliKing,1,7,836,15.77 ± 3.9,2640,,Yes,Zerg,TheMonkies,Jasonion ; Infinity ; wokparty ; Alex ; Ender ; brueda ; tso
GM-Crew Ready,DanStraight,2,7,861,19.63 ± 3.7,2632,8,No,Terran,smokeygun ; Winze,Infinity ; Taeho ; Lyte ; fuinkaze ; Newbi ; Emil ; qxc
Google 1E100 Ads Per Minute,WryWonder,6,2,1087,26.99 ± 3.6,3609,5,Yes,Zerg,Milkman ; juliuspark ; Ares ; sineon ; Argyle ; Argyle,DaFoo ; tom
GM-Crew Ready,eXiled,8,3,1183,34.88 ± 3.2,4907,4,No,Protoss,qxc ; Newbi ; fuinkaze ; Tilena ; DonRagu ; DonRagu ; MDM ; shengy,qxc ; KawaiiRice ; MrNovember
MSFT-B,MDM,6,9,915,23.67 ± 2.6,3443,3,Yes,Terran,Cicero ; FutureNights ; RelaxedBrain ; liquid ; ogreinside ; Pacifists,Milkman ; Ecnunn ; juba ; Quirkedkirk ; Newbi ; Ender ; Auditor ; brueda ; eXiled
Wraitheon,DonRagu,4,6,950,24.86 ± 3.5,3532,8,No,Terran,OneShotKilla ; Hyz ; Cosmic ; Winze,UWUMcSwagXD ; Arcane ; Ender ; eXiled ; eXiled ; Mestaman
GM-Crew Ready,Cosmic,0,8,859,17.26 ± 4.9,3343,,No,Protoss,,DonRagu ; KingOfRage ; DisCerN ; ZESTisBEST ; qxc ; qxc ; OrangCaramel ; danceparty
MSFT-A,danceparty,14,2,1330,37.32 ± 2.4,5038,1,Yes,Zerg,Zero ; StoicWilly ; Slumdog ; YolBolsun ; Inkarnate ; You ; Ender ; Gyalgatine ; Alephnaut ; Arcane ; FutureNights ; Faz ; Cosmic ; Theios,Alephnaut ; Kevin
Wraitheon,qxc,11,2,1257,38.24 ± 3.2,5446,3,No,Terran,Katfish ; eXiled ; Ender ; Ender ; fuinkaze ; Arcane ; TomNook ; DanStraight ; Cosmic ; Cosmic ; Jackal,eXiled ; Zero
Facebook Lingstagram,hello,2,0,1071,31.99 ± 6.3,3826,10,No,Protoss,Joba ; Greghatch,
Google Xpendables,Yaxhiro,1,4,919,20.17 ± 4.2,2789,5,Yes,Random,Kisa,Atlantean ; Alpha ; Vdek ; ViceAdmiral
New Nerds On The Block,Faz,0,3,897,16.94 ± 5.5,0,,No,Protoss,,Syrril ; Ender ; danceparty
Peloton Zealot Legs,FunkMasterJ,0,1,961,20.15 ± 6.6,0,,No,Zerg,,DOJ
Facebook Lingstagram,nowitzki,4,1,1090,29.12 ± 4.2,3434,4,Yes,Terran,Esno ; shengy ; IGotPlanz ; Majak,Alephnaut
Microsoft One Xbox One X,Saichotic,2,1,1018,25.50 ± 5.0,0,7,No,Zerg,Greghatch ; DJRUFIO,LuMorY
Shopify Dropshippers,tso,16,5,1373,38.42 ± 2.0,5247,1,Yes,Zerg,Zero ; AGiantSmurf ; Frontstab ; KawaiiRice ; OrangCaramel ; juno ; Crilmon ; Turing ; fuinkaze ; SourSpinach ; Lyte ; ThEUnKnowN ; frugs ; Arcane ; DisCerN ; CliKing,Crilmon ; PluTo ; OrangCaramel ; AGiantSmurf ; Zero
IBM Virtual Private Carriers,CAholder,1,2,937,18.35 ± 5.0,2809,,No,Terran,Ockie,MyKill ; BigJoeLogs
Eagleview SC2,wtfpwnlzr,0,2,929,18.29 ± 6.1,0,,No,Protoss,,Kerms ; DOJ
Findex Fast Expand,Kerms,2,5,908,19.79 ± 3.8,3006,,Yes,Zerg,wtfpwnlzr ; ITmedic,wokparty ; wokparty ; LilPinkBoba ; Alpha ; Newbi
Microsoft One Xbox One X,Sowha,2,1,1030,25.52 ± 5.1,0,,No,Protoss,OneShotKilla ; Ockie,Arioch
MSFT-B,ViceAdmiral,11,3,1150,29.76 ± 2.8,3504,3,Yes,Protoss,Alephnaut ; Infinity ; Minkintosh ; HammyQ ; HammyQ ; Yaxhiro ; Pacifists ; ChozSun ; Cots ; Galoubet ; Galoubet,StagaDish ; Rainier ; Alken
Addeparchon,Hyz,2,7,873,20.24 ± 3.9,0,,Yes,Zerg,qmx ; QTWO,colonelxc ; DonRagu ; Anti ; nStrage ; SilverBullet ; SilverBullet ; Slumdog
Peloton Zealot Legs,Cots,1,9,765,13.57 ± 3.7,0,,Yes,Terran,QTWO,Majak ; Maphtar ; Philosotoss ; IslandCow ; Noobtoss ; undertone ; undertone ; GreatArchon ; ViceAdmiral
New Nerds On The Block,Rob,0,1,952,18.63 ± 6.4,0,,No,Terran,,wokparty
Red Hatlings,Philosotoss,4,6,968,21.69 ± 3.4,3424,7,Yes,Protoss,Jasonion ; Theios ; DJRUFIO ; Cots,wokparty ; ThEUnKnowN ; ThEUnKnowN ; PeeAndKeele ; Lyte ; Mestaman
Findex Fast Expand,Tilena,0,1,972,22.76 ± 7.3,0,,No,Zerg,,eXiled
Eagleview SC2,Rainier,4,2,1091,30.05 ± 4.0,4227,4,No,Zerg,ViceAdmiral ; Syrril ; wokparty ; DaFoo,ThEUnKnowN ; ZESTisBEST
IBM Virtual Private Carriers,StdyFriend,2,9,800,16.59 ± 3.1,3240,7,Yes,Terran,qmx ; DJRUFIO,MyKill ; liquid ; icyCow ; FutureNights ; Anelit ; DOJ ; LilPinkBoba ; Emil ; Pancakes
Facebook Zuckerzerg,NYAAAA,0,1,993,23.92 ± 7.6,0,,No,Zerg,,ZESTisBEST
TEAM_NOT_KNOWN,A.I. 1 (Very Hard),0,1,948,16.84 ± 6.3,0,,No,Zerg,,smokeygun
Facebook Zuckerzerg,bScherm,4,3,1109,31.34 ± 3.0,4654,2,No,Zerg,OrangCaramel ; YolBolsun ; Infinity ; Jackal,Infinity ; Newbi ; brueda
Addeparchon,TomNook,0,4,904,18.48 ± 5.9,0,,No,Zerg,,icyCow ; Crilmon ; GritBear ; qxc
Amazon Primal,juice,2,6,855,18.44 ± 3.3,0,4,Yes,Terran,Iceman ; sineon,MrSleep ; MrSleep ; Kisa ; Unholy ; Unholy ; fuinkaze
MSFT-A,ZergGirl,3,2,1067,30.54 ± 3.7,4674,3,Yes,Zerg,Alephnaut ; frugs ; Anti,Inkarnate ; PluTo
Google Xpendables,Milkman,2,4,968,23.06 ± 4.0,3746,4,Yes,Protoss,MDM ; Ockie,Xiv ; WryWonder ; Ender ; AGiantSmurf
RHECS,ChozSun,0,7,817,14.39 ± 4.3,2007,,Yes,Terran,,MyKill ; Velvacaine ; Taeho ; Cicero ; ViceAdmiral ; MrJin ; Slumdog
Garmin Fenix,Unholy,6,5,1057,28.08 ± 3.0,3646,3,Yes,Zerg,brueda ; imaznation ; Nitrous ; juice ; juice ; BondiolaKing,Zeman ; WhiteRa ; GreatArchon ; NaCl ; Pancakes
Google Xpendables,Quirkedkirk,3,1,1084,30.25 ± 4.7,3230,4,Yes,Protoss,whoyou ; Jasonion ; MDM,FAir
Amazon Painforest,ShOckWavE,9,3,1250,35.17 ± 2.6,4832,3,Yes,Zerg,juno ; Ender ; MrJin ; PeeAndKeele ; Gyalgatine ; Bdang ; Sunflasher ; mmun ; Zeman,Slumdog ; PluTo ; Frontstab
Amazon Primal,Theios,0,6,834,13.79 ± 4.8,3858,,Yes,Zerg,,Velvacaine ; Magni ; Philosotoss ; juba ; GritBear ; danceparty
Google Xpendables,colonelxc,2,5,906,20.00 ± 3.7,3150,10,Yes,Zerg,bleatongordy ; Hyz,bleatongordy ; whoyou ; nStrage ; frugs ; FAir
Amazon Primal,bleatongordy,2,6,880,18.41 ± 3.7,3113,9,Yes,Terran,liquid ; colonelxc,MrSleep ; colonelxc ; Syrril ; LilPinkBoba ; TheGladiator ; MrJin
Red Hatlings,Syrril,2,3,984,23.14 ± 4.5,4028,10,Yes,Zerg,TBSS ; bleatongordy,frugs ; TheGladiator ; tskuzzy
Amazon Painforest,Liqht,11,3,1265,36.39 ± 2.6,5306,3,Yes,Zerg,StoicWilly ; PluTo ; juno ; YolBolsun ; SourSpinach ; juba ; coolwhip ; Rook ; MyKill ; Calm ; Greghatch,Laybunz ; Mestaman ; Pancakes
Alexa 12 Pool,TallMonster,4,2,1070,30.09 ± 3.6,4093,4,Yes,Zerg,YolBolsun ; TBSS ; Nitrous ; Jackal,Arcane ; FAir
Google 1E100 Ads Per Minute,whoyou,3,4,974,23.65 ± 3.8,3938,8,Yes,Protoss,CepHaLoPoD ; colonelxc ; Greghatch,frugs ; Quirkedkirk ; PandaKhan ; FAir
Google 1E100 Ads Per Minute,PeeAndKeele,4,2,1085,30.33 ± 4.1,4237,4,Yes,Terran,Ketse ; Philosotoss ; Magni ; imaznation,ShOckWavE ; Pancakes
IBM Virtual Private Carriers,ITmedic,0,4,836,12.13 ± 4.8,0,,Yes,Terran,,Winze ; Kerms ; Alephnaut ; Ender
Epic Systims,madscyentist,0,2,950,20.14 ± 6.8,3170,,Yes,Zerg,,Minkintosh ; StoicWilly
Garmin Fenix,Minkintosh,1,2,974,23.45 ± 5.3,2397,,Yes,Zerg,madscyentist,ViceAdmiral ; Auditor
Amazon Painforest,WhiteRa,4,3,1090,32.53 ± 3.1,5033,3,Yes,Protoss,ZESTisBEST ; Unholy ; MxGLasender ; Alex,PluTo ; FAir ; AGiantSmurf
Google A-Movers,Xiv,1,0,1035,28.30 ± 7.2,3389,5,Yes,Zerg,Milkman,
Red Hatlings,CepHaLoPoD,2,4,957,21.13 ± 4.1,0,7,Yes,Zerg,Syngularity ; BlueTopaz,FutureNights ; whoyou ; Arcane ; LilPinkBoba
Epic Systims,MxGLasender,5,4,1048,28.70 ± 3.3,4651,6,Yes,Terran,Alex ; wokparty ; Anti ; Cress ; Winze,juba ; WhiteRa ; Noodle ; YolBolsun
Google Xpendables,BlueTopaz,0,4,837,12.37 ± 4.7,2432,,Yes,Protoss,,Arioch ; liquid ; CepHaLoPoD ; Lagforce
MSFT-A,LilPinkBoba,4,2,1058,28.04 ± 4.4,4362,8,Yes,Zerg,CepHaLoPoD ; Kerms ; bleatongordy ; StdyFriend,coolwhip ; StoicWilly
Epic Systims,Pancakes,10,2,1252,35.57 ± 2.9,4976,4,Yes,Protoss,StoicWilly ; Liqht ; PeeAndKeele ; Gyalgatine ; Unholy ; wokparty ; Lagforce ; Velvacaine ; Jackal ; StdyFriend,FAir ; AGiantSmurf
Garmin Fenix,Velvacaine,2,4,916,20.29 ± 4.4,3198,,Yes,Protoss,Theios ; ChozSun,LuisG ; Anti ; Noodle ; Pancakes
Bloomberg Bloomzerg,Auditor,8,4,1166,32.90 ± 2.6,4432,1,Yes,Protoss,Zero ; PluTo ; juba ; Lagforce ; LuisG ; Minkintosh ; MDM ; Jackal,Arcane ; undertone ; Inkarnate ; OrangCaramel
Facebook Lingstagram,Ketse,8,3,1123,30.55 ± 3.0,3894,3,Yes,Terran,Slumdog ; DisCerN ; Draik ; Ares ; Atlantean ; MrSleep ; Argyle ; Argyle,PeeAndKeele ; brueda ; Inkarnate
Shopify Dropshippers,qmx,0,2,900,14.80 ± 5.5,2053,,Yes,Terran,,StdyFriend ; Hyz
MSFT-A,Kixantrix,5,5,996,24.53 ± 2.8,4070,3,Yes,Terran,Zip ; wokparty ; Ectoplasm ; Treher ; Jackal,Jackal ; Kisa ; Kisa ; GreatArchon ; juno
Epic Systims,Zeman,2,8,885,23.48 ± 3.1,3496,4,Yes,Zerg,Unholy ; Laybunz,mmun ; GreatArchon ; GreatArchon ; NaCl ; Emil ; Emil ; ShOckWavE ; AGiantSmurf
Google 1E100 Ads Per Minute,Bobalicious,0,1,980,22.58 ± 7.1,0,,Yes,Protoss,,NaCl
Facebook Lingstagram,cindy,0,1,947,19.20 ± 6.4,0,,Yes,Protoss,,Iceman
Google 1E100 Ads Per Minute,Laybunz,1,1,1002,28.13 ± 5.6,0,4,Yes,Zerg,Liqht,Zeman
Red Hatlings,ABlindMan,1,2,988,24.83 ± 5.0,0,4,Yes,Protoss,Iceman,Cicero ; PluTo
Facebook Lingstagram,undertone,4,1,1068,29.86 ± 4.4,3460,2,Yes,Zerg,Auditor ; Majak ; Cots ; Cots,Zip
Micro Pro,Bdang,2,1,1024,28.27 ± 4.9,4201,4,Yes,Zerg,FearCat ; Maarfon,ShOckWavE
Facebook Lingstagram,Marshmellow,2,0,1068,31.90 ± 6.1,0,4,Yes,Terran,Iceman ; liquid,
Peloton Zealot Legs,liquid,3,5,909,18.11 ± 3.5,3136,8,Yes,Terran,BondiolaKing ; BlueTopaz ; StdyFriend,bleatongordy ; MDM ; TBSS ; Marshmellow ; Zip
Micro Pro,Cress,1,2,934,18.68 ± 5.0,2936,,Yes,Protoss,BondiolaKing,Greghatch ; MxGLasender
Google ggMail,BondiolaKing,0,4,840,13.02 ± 4.9,3760,,Yes,Zerg,,liquid ; Cress ; Iceman ; Unholy
Amazon Painforest,Noodle,3,2,1094,32.53 ± 4.4,4392,5,Yes,Terran,MrJin ; MxGLasender ; Velvacaine,StoicWilly ; Frontstab
Facebook Lingstagram,quarkral,0,3,910,18.32 ± 5.4,2800,,Yes,Terran,,Infinity ; Alephnaut ; Mestaman
Google ggMail,IslandCow,1,1,976,20.50 ± 5.4,2449,,Yes,Terran,Cots,Sunflasher
MSFT-B,Noobtoss,1,0,1027,27.41 ± 7.2,2585,,Yes,Protoss,Cots,
Facebook Zuckerzerg,Frontstab,10,3,1311,38.20 ± 2.6,5235,3,Yes,Terran,Kevin ; ShOckWavE ; Mestaman ; tskuzzy ; NaCl ; NaCl ; Noodle ; Alephnaut ; DisCerN ; FearCat,ZESTisBEST ; tso ; Zero
MSFT-A,TheGladiator,4,1,1100,31.86 ± 4.6,4879,4,Yes,Protoss,Vdek ; Syrril ; bleatongordy ; Winze,AGiantSmurf
Facebook Lingstagram,TBSS,1,5,921,19.31 ± 4.3,3365,9,Yes,Terran,liquid,Syrril ; TallMonster ; tskuzzy ; brueda ; Inkarnate
Google Xpendables,StagaDish,2,2,1029,27.26 ± 3.9,3647,3,Yes,Zerg,ViceAdmiral ; Arcane,Syzygy ; Kisa
Shopify Dropshippers,Ares,0,3,903,17.04 ± 5.4,2461,,Yes,Zerg,,wokparty ; WryWonder ; Ketse
Google ggMail,IGotPlanz,0,3,912,18.50 ± 5.6,2812,,Yes,Random,,nowitzki ; Zip ; MrJin
Epic Systims,Calm,0,5,859,15.83 ± 4.8,0,,Yes,Zerg,,Anelit ; Anti ; tskuzzy ; Vdek ; Liqht
Shopify Dropshippers,protoaST,1,1,997,24.86 ± 5.6,0,4,Yes,Protoss,MrSleep,PandaKhan
RHECS,ogreinside,0,3,897,14.98 ± 5.4,0,,Yes,Zerg,,Rook ; MDM ; tskuzzy
Google Xpendables,Jasonion,1,2,945,19.05 ± 4.9,2830,,Yes,Zerg,CliKing,Philosotoss ; Quirkedkirk
RHECS,juliuspark,0,2,924,16.84 ± 5.7,0,,Yes,Protoss,,Sunflasher ; WryWonder
Micro Pro,Ectoplasm,0,2,938,19.29 ± 6.2,0,,Yes,Zerg,,Kixantrix ; FAir
IBM Virtual Private Carriers,Anti,3,3,991,25.14 ± 4.0,0,,Yes,Zerg,Velvacaine ; Hyz ; Calm,MxGLasender ; ZergGirl ; fuinkaze
MSFT-B,LuisG,2,4,974,23.81 ± 3.9,3441,4,Yes,Terran,Velvacaine ; Pacifists,juba ; Gyalgatine ; Auditor ; StoicWilly
Micro Pro,nStrage,2,2,1011,25.47 ± 4.6,4272,11,Yes,Terran,colonelxc ; Hyz,Alephnaut ; Mestaman
MSFT-B,DARKARTY,1,0,1033,29.73 ± 6.6,0,5,Yes,Terran,Nitrous,
IBM Virtual Private Carriers,Treher,0,2,914,15.49 ± 5.7,2859,,Yes,Protoss,,OneShotKilla ; Kixantrix
Facebook Lingstagram,Syngularity,1,3,927,19.56 ± 4.2,2923,6,Yes,Protoss,Atlantean,CepHaLoPoD ; Iceman ; Cicero
MSFT-B,OooLaLa,0,1,996,24.35 ± 7.9,0,,Yes,Terran,,Zero
Epic Systims,Pikmet,0,4,916,18.91 ± 5.5,3914,,Yes,Protoss,,NaCl ; Ender ; You ; YolBolsun
Addeparchon,mmun,1,5,919,23.14 ± 3.8,3475,5,Yes,Zerg,Zeman,BicepCurls ; Cicero ; Slumdog ; ShOckWavE ; Alken
Google 1E100 Ads Per Minute,BicepCurls,2,2,1049,29.98 ± 4.4,4693,3,Yes,Zerg,SourSpinach ; mmun,Ender ; Zero
RHECS,TheDoctor,0,2,923,16.92 ± 5.6,0,,Yes,Zerg,,Anelit ; Alex
Google Xpendables,Magni,1,2,949,19.59 ± 5.1,4038,,Yes,Terran,Theios,Kisa ; PeeAndKeele
TEAM_NOT_KNOWN,HammyQ,0,2,943,19.45 ± 6.0,0,,Yes,Terran,,ViceAdmiral ; ViceAdmiral
TEAM_NOT_KNOWN,Ecnunn,1,0,1039,30.40 ± 6.5,0,4,Yes,Terran,MDM,
TEAM_NOT_KNOWN,Draik,0,1,970,21.61 ± 6.9,0,,Yes,Protoss,,Ketse
TEAM_NOT_KNOWN,Esno,0,1,966,21.04 ± 6.9,0,,Yes,Protoss,,nowitzki
