Team Name,Name,Wins,Losses,Elo (avg=1000),Trueskill Rating (avg=25),Peak MMR,zero Number,Active,Race,Players Defeated,Players Lost To
Shopify Our CEO Plays Zerg,HaZe,1,0,1040,29.21 ± 7.2,2872,9,No,Protoss,MsWolf,
VISARD,MsWolf,1,8,798,13.63 ± 3.9,0,8,No,Protoss,Evan,Daggerfield ; Jackal ; halflings ; HowieZ ; HaZe ; StirFry ; Garett ; You
Facebook Wings,baemax,1,2,952,21.27 ± 5.3,3591,,No,Zerg,VoxVeritas,GreatArchon ; DarthNoob
I BM,VoxVeritas,0,3,892,15.98 ± 5.7,2761,,No,Zerg,,Projekt ; baemax ; Zip
Google A-Movers,Alken,18,9,1265,31.90 ± 1.9,4504,1,Yes,Protoss,Zero ; PluTo ; PluTo ; ViceAdmiral ; SourSpinach ; Taeho ; Taeho ; frugs ; Arioch ; Vutalisk ; wokparty ; Infinity ; segv ; mmun ; owlerX ; sineon ; sineon ; Galoubet,FutureNights ; seu ; frugs ; Enterprise ; Turing ; brueda ; juno ; Slumdog ; KawaiiRice
Facebook Zuckerzerg,frugs,14,11,1067,29.54 ± 2.0,4686,2,Yes,Zerg,Kevin ; Alken ; Fent ; Alex ; rezecib ; CheriLady ; Syrril ; Anelit ; whoyou ; icyCow ; Feniks ; FearCat ; FireFerret ; colonelxc,rezecib ; ZergGirl ; Alephnaut ; NaCl ; DarkZero ; Cicero ; You ; Alken ; Kevin ; tso ; MrNovember
Bloomzerg,sustorm,1,3,919,19.76 ± 4.8,0,4,No,Protoss,Krayze,MrJefferson ; seu ; ZESTisBEST
Microsoft Macrohard,Krayze,10,4,1140,33.40 ± 2.9,0,3,No,Zerg,Turing ; Zip ; SourSpinach ; Taeho ; BounD ; REALLYANGRY ; FutureNights ; BilboBagins ; FireFerret ; Greghatch,sustorm ; Turing ; Katfish ; Kevin
Wraitheon,FireFerret,3,6,922,23.07 ± 3.6,3782,7,No,Terran,MorOs ; Daggerfield ; DJRUFIO,KingOfRage ; Fran ; frugs ; Krayze ; You ; MrNovember
Ok Googler,Fran,6,7,1008,26.97 ± 2.9,4530,4,No,Terran,GreatArchon ; Spitfire ; FireFerret ; Nitrous ; MrSleep ; Starviper,shengy ; seu ; Wailord ; Inkarnate ; juno ; Slumdog ; StoicWilly
Red Hat Hatlings,Bobsponge,0,2,932,18.67 ± 6.3,2823,,No,Zerg,,halflings ; joLin
Google Cannon Platform,halflings,5,6,929,22.79 ± 3.4,3265,4,No,Zerg,Bobsponge ; Jakers ; MrSleep ; MsWolf ; Winze,Mantric ; Arkane ; pzlin ; MrJin ; Kevin ; StoicWilly
Eagleview SC2,Trizar,0,2,929,18.60 ± 6.4,2640,,No,Terran,,BadassGinger ; McStruthers
Garmin Fenix,BadassGinger,1,5,856,16.92 ± 4.2,2674,,No,Terran,Trizar,MUSTARDTIGER ; MrJefferson ; ZeroCool ; LatinPride ; LuMorY
AltSource,Violett,1,2,966,22.34 ± 5.3,0,6,No,Zerg,Atlantean,Chiy ; nalakuwala
Facebook Heart,nalakuwala,5,3,1090,29.32 ± 3.9,4626,3,No,Zerg,Treadle ; wokparty ; seu ; Violett ; Nebula,HawaiiRice ; keelar ; keelar
Google BetaStars,rezecib,4,6,1009,28.37 ± 3.1,4377,3,No,Zerg,brueda ; frugs ; joLin ; sineon,Wailord ; frugs ; Enterprise ; keelar ; Kevin ; MrNovember
Facebook Legacy,Wailord,5,4,1036,29.93 ± 3.3,4578,3,No,Zerg,GritBear ; Arcane ; rezecib ; Fran ; Jackal,DarthNoob ; You ; You ; MrNovember
Eagleview SC2,Mannered,15,5,1187,33.25 ± 2.5,4265,3,No,Terran,Zip ; Kolo ; CowInAPie ; Gokhan ; Anelit ; empathe ; ZeroCool ; TYTY ; Jakers ; Thames ; TabulaRasa ; KinCornKarn ; Pacifists ; PapaGil ; Argyle,Zip ; MrJin ; juno ; StoicWilly ; AGiantSmurf
Garmin Fenix,PapaGil,1,6,867,18.62 ± 4.3,2772,7,No,Zerg,MaximumSnail,Majak ; Pacifists ; Tiran ; commamloser ; SourSpinach ; Mannered
Red Hatlings,patch,0,5,898,17.39 ± 5.8,3035,,No,Terran,,Pacifists ; Tarnasa ; Fent ; ZESTisBEST ; Zero
Google Noobernetes,Tarnasa,2,5,906,19.73 ± 4.0,2995,,No,Terran,patch ; RexAliquid,Jackal ; joLin ; StirFry ; Zip ; Katfish
Google YouNube,Nebula,0,6,795,11.67 ± 4.6,0,,No,Protoss,,Argyle ; Rook ; Maphtar ; Maphtar ; Laserath ; nalakuwala
Peloton Zealot Legs,Argyle,5,21,733,18.50 ± 2.3,3005,5,Yes,Zerg,Sup ; Maarfon ; DJRUFIO ; lifehckr ; Nebula,Jackal ; Pacifists ; Thames ; Infinity ; BigJoeLogs ; wokparty ; WryWonder ; WryWonder ; PandaKhan ; PandaKhan ; DetRice ; GreatArchon ; NaCl ; Ketse ; Ketse ; fuinkaze ; Newbi ; Newbi ; Mannered ; juno ; MrNovember
Findex (AUS),JimGaynor,5,3,1017,25.76 ± 3.8,3424,5,No,Terran,DarthNoob ; MrJefferson ; Phate ; CulperAgent ; owlerX,FarFetchd ; DisCerN ; SourSpinach
Google Proxy Batch,DarthNoob,6,4,1121,30.18 ± 3.2,3336,4,No,Protoss,Garett ; Wailord ; baemax ; Maarfon ; MrSleep ; MyKill,JimGaynor ; Zip ; juno ; StoicWilly
Google YouNube,xale,1,7,827,16.57 ± 4.1,3041,,No,Zerg,RexAliquid,IIIIIIIIIIII ; Dejanigma ; Gokhan ; pzlin ; Kitagawa ; Enterprise ; Cicero
Peloton Zealot Legs,Kitagawa,14,3,1137,31.30 ± 3.1,4659,4,No,Terran,StoicWilly ; DetRice ; McStruthers ; McStruthers ; GeLouKo ; LuMorY ; MrJefferson ; Feniks ; shengy ; MyKill ; sergeydr ; DJRUFIO ; xale ; Galoubet,Alex ; DetRice ; tskuzzy
Google A-Movers,You,15,6,1187,32.62 ± 2.4,3831,3,Yes,Terran,fuinkaze ; StirFry ; frugs ; Spectre ; Wailord ; Wailord ; DisCerN ; Infinity ; BilboBagins ; FearCat ; FireFerret ; Pikmet ; Nitrous ; Arioch ; MsWolf,Infinity ; CowInAPie ; Crilmon ; juno ; ZESTisBEST ; danceparty
Red Hatlings,Zip,18,11,1120,29.39 ± 1.9,4014,2,Yes,Zerg,OrangCaramel ; Mannered ; DarthNoob ; SourSpinach ; undertone ; meTzelmaTz ; Frolic ; Kisa ; Kisa ; Vauxhall ; Syzygy ; IGotPlanz ; liquid ; Tarnasa ; Maarfon ; VoxVeritas ; QTWO ; DJRUFIO,Kixantrix ; LuMorY ; Alpha ; NaCl ; fuinkaze ; Krayze ; Mannered ; Inkarnate ; YolBolsun ; GritBear ; Kevin
Google Proxy Batch,Expendable,3,4,976,23.70 ± 4.0,3614,6,No,Protoss,LatinPride ; Anelit ; Projekt,joLin ; Taeho ; MrJin ; StoicWilly
Findex Fast Expand,Anelit,11,13,980,22.13 ± 2.2,3387,5,Yes,Zerg,Dejanigma ; Pocari ; TheDoctor ; MUSTARDTIGER ; Atlantean ; Calm ; Greghatch ; lifehckr ; Youiur ; StdyFriend ; Galoubet,Daggerfield ; Maphtar ; Expendable ; Iceman ; wokparty ; McStruthers ; frugs ; Vdek ; Newbi ; brueda ; Mannered ; Mestaman ; Kevin
Findex Fast Expand,StoicWilly,37,10,1279,35.38 ± 1.7,4962,3,Yes,Terran,AGiantSmurf ; AGiantSmurf ; AGiantSmurf ; FAir ; PluTo ; Slumdog ; juno ; Mannered ; Newbi ; fuinkaze ; DarthNoob ; GreatArchon ; GreatArchon ; GreatArchon ; GreatArchon ; Noodle ; Alpha ; Garett ; LilPinkBoba ; DisCerN ; Fran ; wokparty ; Iceman ; Gokhan ; Gokhan ; Expendable ; LuisG ; maybecake ; Maphtar ; madscyentist ; halflings ; Lackthereof ; imaznation ; Nitrous ; DJRUFIO ; DJRUFIO ; FarFetchd,Puzzle ; Kitagawa ; brueda ; juno ; Pancakes ; Liqht ; Kevin ; OrangCaramel ; danceparty ; MrNovember
Findex Fast Expand,MyKill,5,13,880,20.84 ± 2.8,3050,5,Yes,Protoss,Maphtar ; CAholder ; smokeygun ; ChozSun ; StdyFriend,imaznation ; MUSTARDTIGER ; MaximumSnail ; Infinity ; Funkytown ; CowInAPie ; SourSpinach ; NaCl ; DarthNoob ; Kitagawa ; Katfish ; GritBear ; Liqht
Amazon Painforest,Feniks,1,3,935,20.28 ± 4.9,3526,4,No,Protoss,Gyalgatine,Alex ; frugs ; Kitagawa
Bloomberg Bloomzerg,FearCat,4,10,932,23.93 ± 3.0,3575,3,Yes,Terran,Kevin ; Alephnaut ; Funkytown ; Winze,Bdang ; Arcane ; frugs ; Alephnaut ; You ; juno ; juno ; ZESTisBEST ; Kevin ; Frontstab
Microsoft Bill 4 Gates,DOJ,8,9,1053,26.73 ± 2.5,4246,3,No,Terran,Kevin ; NaCl ; Alephnaut ; FunkMasterJ ; wtfpwnlzr ; MrSleep ; KinCornKarn ; StdyFriend,Vutalisk ; Puzzle ; Puzzle ; Gyalgatine ; GreatArchon ; NaCl ; Enterprise ; Inkarnate ; juno
Bloomzerg,shengy,7,12,913,26.12 ± 2.4,3966,3,No,Zerg,SourSpinach ; Allen ; Fran ; DEVD ; HawaiiRice ; Bumblebee ; KGBXaiver,BounD ; Arcane ; nowitzki ; Lyte ; Kitagawa ; Cicero ; eXiled ; Katfish ; Slumdog ; Slumdog ; ZESTisBEST ; OrangCaramel
Facebook Lingstagram,Katfish,11,2,1202,36.20 ± 3.0,4175,3,No,Protoss,Krayze ; fuinkaze ; GreatArchon ; SourSpinach ; Alephnaut ; juba ; Alex ; Kronya ; shengy ; Tarnasa ; MyKill,brueda ; qxc
Red Hat Hatlings,Vutalisk,6,4,1016,26.37 ± 3.4,3950,4,No,Zerg,DOJ ; Treadle ; Maphtar ; Maphtar ; MUSTARDTIGER ; sineon,Kolo ; Gyalgatine ; NaCl ; Alken
Google BetaStars,KiDZ,3,1,1047,27.37 ± 5.0,3624,4,No,Protoss,rskaliotis ; Littlenold ; MrSleep,Mestaman
Garmin Fenix,KGBXaiver,0,5,848,14.32 ± 4.9,2475,,No,Terran,,DJRUFIO ; Maarfon ; shengy ; MUSTARDTIGER ; NaCl
Google 1E100 Ads Per Minute,Alex,9,9,1043,26.55 ± 2.5,3734,5,Yes,Zerg,Kitagawa ; Sunflasher ; Pocari ; Feniks ; TheDoctor ; Nitrous ; Arioch ; KinCornKarn ; CliKing,LuMorY ; MxGLasender ; frugs ; Alephnaut ; WhiteRa ; Inkarnate ; Inkarnate ; Katfish ; juno
Eagleview SC2,LuMorY,10,9,1016,25.83 ± 2.4,4166,3,No,Zerg,Zip ; Alex ; Saichotic ; CODADarson ; TYTY ; Arioch ; MrSleep ; OneShotKilla ; MADMDK ; BadassGinger,Nitrous ; Gokhan ; Taeho ; Alpha ; SourSpinach ; GreatArchon ; Kitagawa ; brueda ; Slumdog
Capital OneA,MrJefferson,5,7,962,24.32 ± 3.2,4103,5,No,Protoss,Arkane ; Sunflasher ; Vauxhall ; sustorm ; BadassGinger,KingOfRage ; JimGaynor ; GreatArchon ; GreatArchon ; fuinkaze ; Kitagawa ; OrangCaramel
